Model,MSE,RMSE,MAE,R2,MAPE,Pearson_Corr
RandomForest,1553317760823.4214,1246321.6923505028,448080.87226890074,0.95144010972975,7.553579986349712,0.9757598163582669
XGBoost,1863452937983.5525,1365083.4912134688,489652.6159375683,0.9417446497590501,8.57824656150761,0.9710464237805839
CatBoost,1214554547031.8542,1102068.304158982,449464.8468396974,0.9620305406796898,7.956058911060847,0.9809031847915659
LightGBM,1361207901654.013,1166708.1475904817,519484.5021590476,0.9574458568578549,8.950834262963788,0.9785256180051588
